Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
16878_Medieval_MertonPriory_MPY86 	1800953	30897	22393	21905	21905	116	1197	26	71	38	20	122	3369	1034	486	2	3	1	5	1	51	934	139	2	45	7	14160	10	66
16879_Medieval_MertonPriory_MPY86 	1597550	13784	9451	9296	9296	62	629	9	56	18	12	176	1502	2783	194	4	1	1	2	4	158	1771	267	2	11	3	1581	4	46
16880_Medieval_MertonPriory_MPY86 	1447359	10863	8125	7952	7952	16	158	6	8	5	2	88	128	37	172	4	3	2	1	1	77	837	69	0	20	1	6310	1	6
16881_Medieval_MertonPriory_MPY86 	1310772	29671	22753	22275	22275	91	796	68	81	16	13	305	835	307	754	3	1	1	2	4	43	374	33	8	47	4	18439	0	50
16882_Medieval_MertonPriory_MPY86 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16883_Medieval_MertonPriory_MPY86 	1004782	44345	26078	25444	25444	130	1473	51	201	82	32	107	16088	4536	531	3	6	3	6	1	111	76	18	4	8	2	1817	38	120
16884_Medieval_MertonPriory_MPY86 	2605973	6143	4361	3942	3942	0	6	4	0	3	0	142	8	5	4	0	2	0	2	5	21	3457	101	2	2	2	170	1	5
16885_Medieval_MertonPriory_MPY86 	2083221	5955	3858	3687	3687	1	4	2	4	7	1	157	10	5	2	2	3	1	7	1	117	3193	107	0	5	4	45	5	4
16886_Medieval_MertonPriory_MPY86 	2110416	94438	64311	63172	63172	408	9795	126	176	58	54	232	13672	9906	1336	10	12	4	13	10	206	551	167	15	87	13	26026	24	271
16887_Medieval_MertonPriory_MPY86 	3136516	119837	82100	80250	80250	276	2586	84	144	58	49	303	16590	4155	3967	60	11	6	12	6	276	819	367	25	96	11	50095	30	224
16888_Medieval_MertonPriory_MPY86 	2221663	4929	3122	3054	3054	4	26	2	8	6	1	212	257	10	45	3	1	1	3	2	140	2115	95	4	1	1	107	3	7
16889_Medieval_MertonPriory_MPY86 	1415252	7725	5564	5461	5461	8	133	4	3	5	3	112	229	139	106	4	1	0	2	5	27	226	45	3	7	3	4383	3	10
16890_Medieval_MertonPriory_MPY86 	1028183	20338	15924	15553	15553	31	345	18	9	18	2	202	469	114	383	2	2	0	1	2	31	369	8	1	46	2	13480	2	16
16891_Medieval_MertonPriory_MPY86 	1334341	1706	1061	1010	1010	0	2	13	2	2	2	123	1	0	3	1	3	2	2	1	7	806	16	1	0	2	20	1	0
16892_PostMedieval_CrossBones_REW92 	931865	728	454	446	446	2	2	0	1	1	2	51	5	11	2	0	2	0	0	1	12	130	150	6	0	3	64	1	0
16893_PostMedieval_CrossBones_REW92 	2438053	6162	3937	3767	3767	8	12	13	2	7	4	730	38	111	31	3	7	4	3	0	31	1815	169	1	3	3	771	0	1
16894_PostMedieval_CrossBones_REW92 	1942200	4643	3356	2937	2937	2	0	4	3	1	0	283	6	1	2	5	0	1	0	2	6	2549	10	1	0	2	58	1	0
16895_PostMedieval_CrossBones_REW92 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16896_PostMedieval_CrossBones_REW92 	457094	646	440	423	423	0	1	1	0	0	0	40	9	3	2	0	0	1	1	0	8	299	17	0	0	1	39	1	0
16897_PostMedieval_CrossBones_REW92 	3192234	75906	53704	52780	52780	362	5420	85	312	116	63	322	11634	9409	1159	2	5	1	10	8	146	580	120	21	79	2	22626	40	258
16898_PostMedieval_CrossBones_REW92 	1044464	1888	1191	1161	1161	1	2	3	2	0	1	313	4	1	3	0	4	0	0	0	29	639	27	2	1	2	125	1	1
16899_PostMedieval_CrossBones_REW92 	2189466	44083	31065	30322	30322	207	1989	67	82	82	22	490	5279	11284	1130	3	8	1	13	5	90	1855	49	10	11	2	7542	15	86
16900_PostMedieval_CrossBones_REW92 	1353192	2360	1535	1480	1480	0	2	6	1	5	2	211	12	36	4	2	3	3	7	3	26	1038	26	1	0	6	83	2	1
16901_PostMedieval_CrossBones_REW92 	1838222	60802	42672	41079	41079	245	4879	52	260	131	41	600	8948	2029	953	1	6	1	138	3	171	1434	105	19	65	6	20803	26	163
16902_PostMedieval_StBenetSherehog_ONE94 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16903_PostMedieval_StBenetSherehog_ONE94 	1964323	6319	3892	3446	3446	7	5	5	8	6	2	719	8	2	4	5	6	7	7	6	11	2508	26	1	2	5	79	9	8
16904_PostMedieval_StBenetSherehog_ONE94 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16905_PostMedieval_StBenetSherehog_ONE94 	4263763	27912	15252	15026	15026	280	3221	50	386	355	50	205	3811	4569	313	5	4	2	7	11	113	688	88	27	39	6	546	23	227
16906_PostMedieval_StBenetSherehog_ONE94 	2492985	89988	67061	65443	65443	266	4978	160	562	54	42	300	13459	2244	1424	5	1	2	3	0	173	746	194	7	98	2	40493	15	215
16907_PostMedieval_StBenetSherehog_ONE94 	1134937	3216	2240	2160	2160	1	2	4	4	3	2	340	8	1	8	2	2	1	0	1	40	1653	38	2	0	0	25	22	1
16908_PostMedieval_StBenetSherehog_ONE94 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16910_PostMedieval_StBenetSherehog_ONE94 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16911_PostMedieval_StBenetSherehog_ONE94 	4347373	7512	3700	3624	3624	20	168	19	23	35	3	475	193	290	424	7	13	6	13	15	52	950	259	7	5	14	612	2	19
16913_Medieval_StBenetSherehog_ONE94 	1913255	36666	26699	25912	25912	82	1061	48	36	24	12	300	3371	517	945	6	1	1	8	5	67	1056	28	4	40	3	18209	12	76
